"регион","человек ","на_1000",""
"Чеченская Республика","9188","9.2","6.2134567188242"
"Республика Дагестан","19412","19.4","6.2390863396085"
"Ханты-Мансийский АО-Югра","12794","12.8","7.6396867214912"
"Тюменская область","34851","34.9","9.4385765355866"
"г.Москва","149281","149.3","11.761386636765"
"Тюменская область без АО","18773","18.8","12.210748424629"
"г.Санкт-Петербург","72750","72.8","13.477053995655"
"Республика Татарстан","54276","54.3","13.907501636071"
"Томская область","14278","14.3","13.241458619283"
"Ставропольский край","36212","36.2","12.916374925854"
"Удмуртская Республика","21125","21.1","14.074372649413"
"Калининградская область","13282","13.3","13.282"
"Московская область","111803","111.8","14.900341645804"
"Республика Башкортостан","59844","59.8","14.899609882382"
"Красноярский край","40460","40.5","14.065719519262"
"Краснодарский край","80802","80.8","14.237078849264"
"Забайкальский край","14305","14.3","13.334203326793"
"Чувашская Республика","18737","18.7","15.315576735233"
"Омская область","29833","29.8","15.666173395495"
"Ленинградская область","27958","28.0","14.904001978813"
"Новосибирская область","42665","42.7","26.245193404899"
"Волгоградская область","39114","39.1","15.513573285908"
"Оренбургская область","31625","31.6","15.990635681492"
"Челябинская область","54832","54.8","15.697519292673"
"Пермский край","40123","40.1","15.436073005781"
"Иркутская область","35576","35.6","14.797468591358"
"Ростовская область","64238","64.2","15.302701091828"
"Самарская область","52728","52.7","16.510965663529"
"Белгородская область","23908","23.9","15.425750189047"
"Свердловская область","67381","67.4","15.699624826941"
"Хабаровский край","20254","20.3","15.248038473179"
"Приморский край","28837","28.8","15.07393740947"
"Саратовская область","39507","39.5","16.040520514018"
"Ульяновская область","20625","20.6","16.544763512158"
"Пензенская область","22657","22.7","17.014166582185"
"Вологодская область","17906","17.9","15.217274912912"
"Республика Крым","30620","30.6","16.084407947231"
"Алтайский край","37838","37.8","16.330233417291"
"Воронежская область","38161","38.2","16.351668203523"
"Липецкая область","20081","20.1","17.62463675133"
"Кировская область","21027","21.0","16.377788145712"
"Кемеровская область","42795","42.8","16.101917480824"
"Калужская область","17200","17.2","17.198796084274"
"Hижегородская область","55086","55.1","17.198541592646"
"Ярославская область","21417","21.4","17.239020055443"
"Курская область","19004","19.0","17.040324164281"
"Тамбовская область","17789","17.8","17.211519110795"
"Рязанская область","19800","19.8","17.655335745635"
"Владимирская область","24610","24.6","18.116688849366"
"Тульская область","27204","27.2","25.229068516526"
"Тверская область","23075","23.1","18.507987510016"
