регион,2019,2018
Чеченская Республика,4.3,4.4
Республика Дагестан,4.7,4.8
Ханты-Мансийский АО-Югра,6.1,6.3
Тюменская область,7.7,7.9
г.Москва,9.6,9.7
Тюменская область без АО,10.6,11
г.Санкт-Петербург,11,11.1
Республика Татарстан,11,11.5
Томская область,11.2,11.1
Ставропольский край,11.3,11.3
Удмуртская Республика,11.9,11.9
Калининградская область,12,12.3
Московская область,12.1,12.3
Республика Башкортостан,12.2,12.4
Красноярский край,12.3,12.4
Краснодарский край,12.4,12.3
Забайкальский край,12.4,12.2
Чувашская Республика,12.5,12.6
Омская область,12.6,12.8
Ленинградская область,12.7,13
Новосибирская область,12.8,13
Волгоградская область,13.1,13.3
г.Севастополь,13.1,12.9
Оренбургская область,13.1,13.3
Челябинская область,13.1,13.2
Пермский край,13.2,13.5
Иркутская область,13.2,13
Ростовская область,13.3,13.4
Самарская область,13.3,13.5
Белгородская область,13.4,13.5
Свердловская область,13.4,13.5
Хабаровский край,13.4,12.7
Приморский край,13.5,13.5
Саратовская область,13.7,13.8
Ульяновская область,13.8,14.1
Пензенская область,14,14.5
Вологодская область,14.1,14.3
Республика Крым,14.1,14.2
Алтайский край,14.1,14.2
Воронежская область,14.2,14.7
Липецкая область,14.3,14.5
Кировская область,14.3,14.9
Кемеровская область,14.3,14.4
Калужская область,14.6,15
Hижегородская область,14.6,15
Брянская область,14.7,15.2
Ярославская область,14.7,14.9
Курская область,15,15.4
Тамбовская область,15,15.4
Рязанская область,15.2,15.4
Владимирская область,15.7,15.9
Ивановская область,15.8,16
Тульская область,15.9,16.2
Тверская область,16.3,16.8
Новгородская область,16.4,16.7
